Home,Away,Hasla_Home_Points,Hasla_Away_Points,Hasla_Home_Rank,Hasla_Away_Rank
Baylor,West Virginia,76.9,60.48,3.0,72.0
Duke,Notre Dame,74.67,69.47,9.0,69.0
Iowa,Penn State,70.74,67.25,23.0,88.0
Oklahoma,TCU,66.67,59.07,25.0,61.0
Wyoming,Colorado State,72.56,71.29,65.0,41.0
San Diego State,New Mexico,73.27,61.26,49.0,136.0
South Dakota St.,North Dakota,90.08,67.82,68.0,350.0
Vermont,Albany,72.89,56.89,78.0,259.0
Santa Clara,Pacific,80.35,63.6,83.0,271.0
Liberty,Kennesaw State,72.2,67.33,106.0,232.0
Wofford,Mercer,70.09,66.76,112.0,226.0
Colgate,Lafayette,72.74,63.8,131.0,323.0
Morehead State,Tenn. Tech,69.65,68.03,147.0,238.0
Weber State,E. Washington,79.83,73.38,152.0,198.0
UNC Wilmington,Drexel,68.64,68.42,219.0,156.0
Howard,S. Carolina St.,80.26,70.83,158.0,329.0
Southern,Jackson State,66.41,61.85,165.0,284.0
W. Illinois,UMKC,74.08,65.15,184.0,262.0
Boston U,Holy Cross,77.02,58.1,197.0,353.0
Norfolk State,NC Central,67.88,67.4,200.0,261.0
Southern Utah,N. Arizona,78.87,65.87,210.0,326.0
N. Colorado,Portland State,76.24,72.42,212.0,311.0
Alcorn State,Grambling,75.32,65.27,235.0,312.0
Austin Peay,SIUE,70.5,66.59,258.0,265.0
Coppin State,Delaware State,77.19,62.03,286.0,358.0
Alabama State,Florida A&M,71.8,66.05,287.0,310.0
UMES,Morgan State,75.44,63.46,295.0,348.0
Hartford,Maine,71.53,66.69,296.0,351.0
Alabama A&M,Bethune-Cookman,60.31,58.18,328.0,316.0
