event id,participant full name,Away Team,Home Team,Home Spread Bet354,total bet365,datetime,Home Spread Bovada,total bovada
4582246,Santa Clara Broncos,Pacific Tigers,Santa Clara Broncos,-12.5,142.5,2022-01-31T10:50:23-07:00,-12.5,142.5
4582558,Western Illinois Leathernecks,Kansas City Roos,Western Illinois Leathernecks,-6.5,143.0,2022-01-31T11:32:04-07:00,-6.5,143.0
4582615,Tennessee Tech Golden Eagles,Morehead State Eagles,Tennessee Tech Golden Eagles,5.5,137.5,2022-01-31T08:13:43-07:00,5.5,137.5
4582724,Austin Peay Governors,SIU-Edwardsville Cougars,Austin Peay Governors,-2.0,135.5,2022-01-31T09:59:26-07:00,-2.0,135.5
4583995,Penn State Nittany Lions,Iowa Hawkeyes,Penn State Nittany Lions,5.0,139.0,2022-01-31T07:11:21-07:00,5.0,139.0
4584002,Alabama State Hornets,Florida A&M Rattlers,Alabama State Hornets,-12.5,125.5,2022-01-31T10:03:35-07:00,-12.5,125.5
4584006,Wyoming Cowboys,Colorado State Rams,Wyoming Cowboys,1.5,144.5,2022-01-31T10:49:14-07:00,1.5,144.5
4584010,Maryland-Eastern Shore Hawks,Morgan State Bears,Maryland-Eastern Shore Hawks,-2.0,139.5,2022-01-31T10:24:55-07:00,-2.0,139.5
4584013,Delaware State Hornets,Coppin State Eagles,Delaware State Hornets,11.5,120.5,2022-01-31T10:03:35-07:00,11.5,120.5
4584015,South Carolina State Bulldogs,Howard Bison,South Carolina State Bulldogs,7.0,151.0,2022-01-30T15:37:20-07:00,7.0,151.0
4584017,Alcorn State Braves,Grambling State Tigers,Alcorn State Braves,5.5,127.5,2022-01-31T10:03:35-07:00,5.5,127.5
4584021,Jackson State Tigers,Southern University Jaguars,Jackson State Tigers,2.5,131.5,2022-01-31T07:25:16-07:00,2.5,131.5
4584023,North Carolina Central Eagles,Norfolk State Spartans,North Carolina Central Eagles,3.0,136.5,2022-01-30T22:03:44-07:00,3.0,136.5
4584026,San Diego State Aztecs,New Mexico Lobos,San Diego State Aztecs,-14.5,139.0,2022-01-31T06:43:52-07:00,-14.5,139.0
4584098,Weber State Wildcats,Eastern Washington Eagles,Weber State Wildcats,-11.0,156.0,2022-01-31T06:17:10-07:00,-11.0,156.0
4584114,Mercer Bears,Wofford Terriers,Mercer Bears,4.5,135.5,2022-01-31T07:31:28-07:00,4.5,135.5
4584202,Boston University Terriers,Holy Cross Crusaders,Boston University Terriers,-15.5,135.5,2022-01-31T09:28:40-07:00,-15.5,135.5
4617848,Alabama A&M Bulldogs,Bethune-Cookman Wildcats,Alabama A&M Bulldogs,-11.5,124.5,2022-01-31T10:03:35-07:00,-11.5,124.5
4634500,North Dakota Fighting Hawks,South Dakota State Jackrabbits,North Dakota Fighting Hawks,17.0,158.5,2022-01-31T11:01:00-07:00,17.0,158.5
4635394,Lafayette Leopards,Colgate Raiders,Lafayette Leopards,8.5,140.0,2022-01-31T01:16:55-07:00,8.5,140.0
4635904,Maine Black Bears,Hartford Hawks,Maine Black Bears,6.5,133.5,2022-01-31T06:45:58-07:00,6.5,133.5
4638587,Southern Utah Thunderbirds,Northern Arizona Lumberjacks,Southern Utah Thunderbirds,-13.0,146.0,2022-01-31T07:54:25-07:00,-13.0,146.0
4638588,Notre Dame Fighting Irish,Duke Blue Devils,Notre Dame Fighting Irish,5.5,144.0,2022-01-31T10:50:23-07:00,5.5,144.0
4639267,Oklahoma Sooners,TCU Horned Frogs,Oklahoma Sooners,-6.0,127.5,2022-01-31T07:33:34-07:00,-6.0,127.5
4639298,Vermont Catamounts,Albany Great Danes,Vermont Catamounts,-16.0,131.5,2022-01-31T11:18:14-07:00,-16.0,131.5
4641778,Portland State Vikings,Northern Colorado Bears,Portland State Vikings,3.0,150.0,2022-01-31T11:18:14-07:00,3.0,150.0
4645626,Kennesaw State Owls,Liberty Flames,Kennesaw State Owls,6.5,137.0,2022-01-31T06:37:27-07:00,6.5,137.0
