Home,Away,Home_Points_Torv,Away_Points_Torv,Line_Torv,event_id,Home_Spread_Bet365,Total_Bet365,Date,Home_Spread_Bovada,Totaal_Bovada,Hasla_Home_Points,Hasla_Away_Points,Lines_Hasla
Iowa State ,Kansas ,70,69,-1.0,4584059,3.5,138.5,2022-01-31,3.5,138.5,68.14,69.45,1.3100000000000023
Texas Tech ,Texas ,59,55,-3.4,4584046,-4.5,120.0,2022-01-31,-4.5,120.0,62.67,57.57,-5.100000000000001
Auburn ,Alabama ,84,74,-10.3,4584088,-7.0,155.5,2022-01-31,-7.0,155.5,82.13,71.55,-10.579999999999998
Maryland ,Michigan State ,69,72,3.3,4584048,4.0,138.5,2022-01-31,4.0,138.5,67.58,70.53,2.950000000000003
Louisville ,North Carolina ,71,75,4.1,4584008,3.5,145.5,2022-01-31,3.5,145.5,68.84,76.64,7.799999999999997
Georgetown ,Seton Hall ,76,81,4.8,4584028,7.0,152.5,2022-01-31,7.0,152.5,71.96,79.06,7.1000000000000085
Tennessee ,Texas A&M ,70,61,-9.2,4584072,-12.0,131.5,2022-01-31,-12.0,131.5,69.64,59.84,-9.799999999999997
Stanford ,California ,66,62,-3.4,4641787,-5.5,130.0,2022-01-31,-5.5,130.0,66.92,61.73,-5.190000000000005
Northwestern ,Rutgers ,69,62,-6.8,4584062,-5.5,131.0,2022-01-31,-5.5,131.0,69.02,61.25,-7.769999999999996
Duquesne ,Richmond ,67,72,4.9,4584077,6.5,138.5,2022-01-31,6.5,138.5,65.04,72.57,7.529999999999987
Michigan ,Nebraska ,81,66,-14.8,4584053,-14.5,144.5,2022-01-31,-14.5,144.5,78.86,64.81,-14.049999999999997
Eastern Michigan ,Toledo ,68,77,9.0,4584075,10.5,147.0,2022-01-31,10.5,147.0,66.23,77.79,11.560000000000002
Wichita State ,Tulsa ,72,63,-9.6,4611264,-7.5,136.0,2022-01-31,-7.5,136.0,73.2,64.24,-8.960000000000008
Ohio ,Ball State ,79,65,-13.7,4584038,-12.0,145.5,2022-01-31,-12.0,145.5,81.6,62.67,-18.929999999999993
UC Riverside ,UC Davis ,67,59,-8.1,4584097,-6.0,129.0,2022-01-31,-6.0,129.0,67.08,58.61,-8.469999999999999
Central Michigan ,Bowling Green ,79,86,6.3,4584031,7.0,159.0,2022-01-31,7.0,159.0,76.87,82.16,5.289999999999992
Utah State ,Air Force ,68,54,-13.9,4584080,-14.5,125.5,2022-01-31,-14.5,125.5,69.63,54.06,-15.569999999999993
Western Michigan ,Northern Illinois ,68,66,-2.0,4584057,-2.5,136.0,2022-01-31,-2.5,136.0,65.98,66.25,0.269999999999996
Siena ,Canisius ,68,62,-5.6,4633891,-4.5,135.0,2022-01-31,-4.5,135.0,68.31,62.48,-5.830000000000005
San Jose State ,Fresno State ,55,67,11.5,4584094,11.0,125.0,2022-01-31,11.0,125.0,55.61,67.33,11.719999999999999
