date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/09/2021,Alabama,93,Louisiana Tech,64,11.5,11.73,12.07,12.07,12.07,12.07,4.81,0,9.42,18,3.48,15.91,9.7,0,11.3,8.64,,,,,,,,,,14.7
11/09/2021,Alabama A&M,82,Tennessee St.,73,-3,-5.05,-9.12,-9.12,-9.12,-9.12,5.83,-0.5,-5.95,-7,5.02,-1.78,3.2,1,-4.9,-5.46,,,,,,,,,,-8.1
11/09/2021,Albany-NY,56,Towson,77,-3,3.02,2.14,2.14,2.14,2.14,1.87,-2,3.32,6,2.2,8.12,3.8,0,0,3.53,,,,,,,,,,1.1
11/09/2021,American,77,Marist,73,2.5,3.83,3.44,3.44,3.44,3.44,3.35,-2,4.16,7,1.95,5.18,3.3,0,7.3,1.2,,,,,,,,,,0.7
11/09/2021,Arizona,81,Northern Arizona,52,25,23.17,23.58,23.58,23.58,23.58,17.24,0,24.79,20,4.12,31.02,21.6,0,24.2,16.42,,,,,,,,,,28.4
11/09/2021,Arizona St.,76,Portland,60,22,20.67,22.18,22.18,22.18,22.18,20.59,0,22.63,24,3.02,22.08,15.4,0,21.4,14.06,,,,,,,,,,19.2
11/09/2021,Arkansas,74,Mercer,61,19,15.9,15.66,15.66,15.66,15.66,9.94,0,15.72,15,3.14,19.39,11.4,0,17.7,17.15,,,,,,,,,,21.8
11/09/2021,Arkansas-Little Rock,69,Southern Illinois,66,-6,-0.16,-1.22,-1.22,-1.22,-1.22,-5.02,0,0.25,5,3.34,0.06,4.4,0,4.2,-0.56,,,,,,,,,,-5.4
11/09/2021,Auburn,77,Morehead St.,54,15,15.43,15.81,15.81,15.81,15.81,23.03,0,16.47,7,4.1,13.89,10.5,0,17.7,13.57,,,,,,,,,,19.8
11/09/2021,BYU,69,Cleveland St.,59,14.5,16.5,18.37,18.37,18.37,18.37,0.25,0,14.9,19,6.15,22.45,13.1,0,25.2,15.41,,,,,,,,,,14.2
11/09/2021,Binghamton,69,Cornell,76,2,1.01,-3.78,-3.78,-3.78,-3.78,15.89,-1,4.07,-3,6.23,3.16,-1.9,0,-2.8,8.46,,,,,,,,,,3.4
11/09/2021,Boise St.,76,Utah Valley,56,14.5,12.96,11.42,11.42,11.42,11.42,9.36,0,12.79,15,2.2,15,13.1,0,17.3,14.75,,,,,,,,,,12.5
11/09/2021,Boston College,73,Dartmouth,57,12,8.52,8.37,8.37,8.37,8.37,6.69,0,7.58,6,2.08,11.79,8.2,0,5.6,11.44,,,,,,,,,,11.5
11/09/2021,Butler,56,IUPUI,47,25.5,20.69,23.09,23.09,23.09,23.09,17.96,0,18.66,16,4.08,19.46,13,0,25.2,18.54,,,,,,,,,,27.1
