Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Iowa,Purdue,80,81,1.4
Santa Clara,BYU,75,76,1.3
Minnesota,Ohio St.,69,70,0.7
San Francisco,Saint Mary's,64,60,3.5
College of Charleston,Hofstra,79,80,1.4
Washington,Colorado,67,68,1.2
Western Kentucky,UAB,75,79,4.3
Kennesaw St.,Jacksonville St.,70,69,1.0
UTEP,Florida Atlantic,65,64,0.9
Nebraska,Wisconsin,70,78,8.0
UNC Asheville,Gardner Webb,67,66,0.5
McNeese St.,Nicholls St.,75,76,0.6
James Madison,Drexel,74,72,2.0
Marshall,Middle Tennessee,73,77,4.5
Southern Illinois,Loyola Chicago,59,63,3.7
Northern Colorado,Weber St.,82,78,4.3
South Dakota,North Dakota St.,70,69,0.6
UC Davis,Cal St. Fullerton,72,71,1.9
Gonzaga,Loyola Marymount,93,64,28.7
UT Arlington,Texas St.,62,64,1.3
USC,Stanford,75,64,10.6
Memphis,East Carolina,81,69,11.6
Florida Gulf Coast,Eastern Kentucky,79,75,4.4
Towson,Delaware,75,67,7.9
South Alabama,Troy,70,64,6.1
UCLA,California,72,57,15.0
Southeastern Louisiana,Texas A&M Corpus Chris,75,72,3.1
Louisiana Monroe,Georgia Southern,73,71,2.1
Northern Illinois,Ball St.,69,71,1.8
Louisiana Tech,Rice,80,69,10.5
Tennessee Tech,Murray St.,64,75,11.2
Portland St.,Southern Utah,70,73,2.8
Louisiana Lafayette,Georgia St.,76,68,7.8
Appalachian St.,Arkansas St.,67,63,4.4
Denver,UMKC,66,65,1.3
Montana St.,Eastern Washington,77,69,7.7
Southeast Missouri St.,Morehead St.,73,79,5.9
UC Riverside,Long Beach St.,72,63,8.5
Robert Morris,Milwaukee,72,69,3.0
North Florida,Central Arkansas,78,74,4.5
Jacksonville,Lipscomb,70,65,5.4
Houston Baptist,New Orleans,69,73,3.7
Austin Peay,Belmont,66,79,13.2
UNC Wilmington,Northeastern,68,63,4.9
San Diego,Pepperdine,71,63,8.6
UTSA,FIU,63,67,3.5
Stetson,Bellarmine,62,66,4.1
UC Irvine,Cal St. Bakersfield,63,55,7.6
Detroit,Illinois Chicago,74,67,7.1
UC San Diego,Cal Poly,66,62,4.1
Portland,Pacific,71,63,7.6
Fairleigh Dickinson,Mount St. Mary's,65,68,2.9
SIU Edwardsville,Tennessee St.,75,67,7.7
Liberty,North Alabama,71,57,13.6
Sacred Heart,St. Francis NY,75,70,4.1
Central Connecticut,LIU Brooklyn,68,75,7.1
Nebraska Omaha,Oral Roberts,73,86,13.7
Southern Miss,North Texas,51,66,14.7
Wagner,St. Francis PA,77,62,15.4
Coastal Carolina,Little Rock,77,64,12.8
South Dakota St.,North Dakota,100,71,28.6
Chicago St.,Utah Valley,57,69,11.6
Bryant,Merrimack,70,60,10.6
Elon,William & Mary,76,66,9.8
Montana,Idaho,79,66,12.7
Hawaii,Cal St. Northridge,71,57,14.2
Youngstown St.,Green Bay,71,62,9.0
Northwestern St.,Incarnate Word,78,70,8.6
Sacramento St.,Idaho St.,67,57,10.3
Tennessee Martin,Eastern Illinois,71,55,16.1
